V,I,P,R,T,mAH,WH,mAh,Wh,Rest_Time,RM_mAh,RM_%,UC,FCC
34.667,7.45,258.3,4.65,25.0,3306.77,121.368,3311.167,121.493,0,0,0,10400,10400
34.648,7.45,258.1,4.65,25.0,3327.51,122.086,3331.861,122.21,0,0,0,10400,10400
34.632,7.45,258.0,4.65,25.0,3348.21,122.803,3352.556,122.926,0,0,0,10400,10400
34.616,7.45,257.9,4.65,25.0,3368.51,123.506,3373.25,123.643,0,0,0,10400,10400
34.597,7.45,257.7,4.64,25.0,3389.24,124.223,3393.944,124.359,0,0,0,10400,10400
34.579,7.45,257.6,4.64,25.0,3410.41,124.956,3414.639,125.074,0,0,0,10400,10400
34.563,7.45,257.5,4.64,25.0,3431.11,125.671,3435.333,125.789,0,0,0,10400,10400
34.545,7.45,257.4,4.64,25.0,3451.8,126.386,3456.028,126.504,0,0,0,10400,10400
34.529,7.45,257.2,4.63,25.0,3472.08,127.087,3476.722,127.219,0,0,0,10400,10400
34.512,7.45,257.1,4.63,25.0,3492.87,127.804,3497.417,127.933,0,0,0,10400,10400
34.497,7.45,257.0,4.63,25.0,3513.59,128.519,3518.111,128.647,0,0,0,10400,10400
34.482,7.45,256.9,4.63,25.0,3533.9,129.22,3538.806,129.361,0,0,0,10400,10400
34.464,7.45,256.8,4.63,25.0,3554.6,129.933,3559.5,130.074,0,0,0,10400,10400
34.447,7.45,256.6,4.62,25.0,3575.39,130.65,3580.194,130.787,0,0,0,10400,10400
34.433,7.45,256.5,4.62,25.0,3596.56,131.379,3600.889,131.499,0,0,0,10400,10400
34.416,7.45,256.4,4.62,25.0,3617.28,132.092,3621.583,132.211,0,0,0,10400,10400
34.4,7.45,256.3,4.62,25.0,3638.02,132.806,3642.278,132.923,0,0,0,10400,10400
34.385,7.45,256.2,4.62,25.0,3658.33,133.504,3662.972,133.635,0,0,0,10400,10400
34.371,7.45,256.1,4.61,25.0,3679.05,134.217,3683.667,134.346,0,0,0,10400,10400
34.355,7.45,255.9,4.61,25.0,3699.76,134.928,3704.361,135.057,0,0,0,10400,10400
34.339,7.45,255.8,4.61,25.0,3720.89,135.654,3725.056,135.768,0,0,0,10400,10400
34.324,7.45,255.7,4.61,25.0,3741.61,136.365,3745.75,136.478,0,0,0,10400,10400
34.311,7.45,255.6,4.61,25.0,3761.59,137.051,3766.444,137.188,0,0,0,10400,10400
34.296,7.45,255.5,4.6,25.0,3782.7,137.775,3787.139,137.898,0,0,0,10400,10400
34.281,7.45,255.4,4.6,25.0,3803.4,138.485,3807.833,138.607,0,0,0,10400,10400
34.272,7.45,255.3,4.6,25.0,3824.11,139.195,3828.528,139.317,0,0,0,10400,10400
34.253,7.45,255.2,4.6,25.0,3844.42,139.89,3849.222,140.025,0,0,0,10400,10400
34.241,7.45,255.1,4.6,25.0,3865.23,140.603,3869.917,140.734,0,0,0,10400,10400
34.226,7.45,255.0,4.59,25.0,3885.92,141.311,3890.611,141.442,0,0,0,10400,10400
34.213,7.45,254.9,4.59,25.0,3906.62,142.02,3911.306,142.15,0,0,0,10400,10400
34.199,7.45,254.8,4.59,25.0,3927.76,142.743,3932.0,142.858,0,0,0,10400,10400
34.185,7.45,254.7,4.59,25.0,3948.46,143.451,3952.694,143.565,0,0,0,10400,10400
34.171,7.45,254.6,4.59,25.0,3968.75,144.144,3973.389,144.273,0,0,0,10400,10400
34.159,7.45,254.5,4.59,25.0,3989.46,144.851,3994.083,144.98,0,0,0,10400,10400
34.145,7.45,254.4,4.58,25.0,4010.19,145.56,4014.778,145.686,0,0,0,10400,10400
34.132,7.45,254.3,4.58,25.0,4031.32,146.281,4035.472,146.392,0,0,0,10400,10400
34.118,7.45,254.2,4.58,25.0,4052.02,146.987,4056.167,147.099,0,0,0,10400,10400
34.103,7.45,254.1,4.58,25.0,4072.72,147.693,4076.861,147.804,0,0,0,10400,10400
34.093,7.45,254.0,4.58,25.0,4093.03,148.386,4097.556,148.51,0,0,0,10400,10400
34.079,7.45,253.9,4.57,25.0,4113.73,149.091,4118.25,149.215,0,0,0,10400,10400
34.067,7.45,253.8,4.57,25.0,4134.06,149.784,4138.944,149.92,0,0,0,10400,10400
34.053,7.45,253.7,4.57,25.0,4154.81,150.491,4159.639,150.625,0,0,0,10400,10400
34.04,7.45,253.6,4.57,25.0,4175.5,151.195,4180.333,151.329,0,0,0,10400,10400
34.027,7.45,253.5,4.57,25.0,4196.61,151.914,4201.028,152.033,0,0,0,10400,10400
34.016,7.45,253.4,4.57,25.0,4217.32,152.618,4221.722,152.737,0,0,0,10400,10400
34.002,7.45,253.3,4.56,25.0,4237.6,153.308,4242.417,153.441,0,0,0,10400,10400
33.991,7.45,253.2,4.56,25.0,4258.32,154.013,4263.111,154.144,0,0,0,10400,10400
33.978,7.45,253.1,4.56,25.0,4279.05,154.717,4283.806,154.848,0,0,0,10400,10400
33.966,7.45,253.0,4.56,25.0,4300.16,155.434,4304.5,155.55,0,0,0,10400,10400
33.952,7.45,252.9,4.56,25.0,4320.86,156.137,4325.194,156.253,0,0,0,10400,10400
33.941,7.45,252.9,4.56,25.0,4341.14,156.825,4345.889,156.955,0,0,0,10400,10400
33.928,7.45,252.8,4.55,25.0,4361.88,157.529,4366.583,157.658,0,0,0,10400,10400
33.916,7.45,252.7,4.55,25.0,4382.6,158.232,4387.278,158.359,0,0,0,10400,10400
33.905,7.45,252.6,4.55,25.0,4403.38,158.937,4407.972,159.061,0,0,0,10400,10400
33.891,7.45,252.5,4.55,25.0,4424.5,159.652,4428.667,159.762,0,0,0,10400,10400
33.88,7.45,252.4,4.55,25.0,4444.44,160.328,4449.361,160.464,0,0,0,10400,10400
33.867,7.45,252.3,4.55,25.0,4465.57,161.044,4470.056,161.164,0,0,0,10400,10400
33.856,7.45,252.2,4.54,25.0,4486.31,161.746,4490.75,161.865,0,0,0,10400,10400
33.843,7.45,252.1,4.54,25.0,4507.05,162.448,4511.444,162.565,0,0,0,10400,10400
33.831,7.45,252.0,4.54,25.0,4527.35,163.135,4532.139,163.266,0,0,0,10400,10400
33.819,7.45,252.0,4.54,25.0,4548.1,163.837,4552.833,163.965,0,0,0,10400,10400
33.808,7.45,251.9,4.54,25.0,4568.82,164.538,4573.528,164.665,0,0,0,10400,10400
33.795,7.45,251.8,4.54,25.0,4589.94,165.252,4594.222,165.364,0,0,0,10400,10400
33.784,7.45,251.7,4.53,25.0,4610.67,165.952,4614.917,166.064,0,0,0,10400,10400
33.772,7.45,251.6,4.53,25.0,4630.96,166.637,4635.611,166.762,0,0,0,10400,10400
33.759,7.45,251.5,4.53,25.0,4651.67,167.337,4656.306,167.461,0,0,0,10400,10400
33.748,7.45,251.4,4.53,25.0,4672.4,168.036,4677.0,168.159,0,0,0,10400,10400
33.736,7.45,251.3,4.53,25.0,4693.11,168.735,4697.694,168.858,0,0,0,10400,10400
33.725,7.45,251.3,4.53,25.0,4714.26,169.448,4718.389,169.556,0,0,0,10400,10400
33.712,7.45,251.2,4.53,25.0,4734.96,170.147,4739.083,170.253,0,0,0,10400,10400
33.702,7.45,251.1,4.52,25.0,4755.3,170.832,4759.778,170.951,0,0,0,10400,10400
33.688,7.45,251.0,4.52,25.0,4775.99,171.529,4780.472,171.648,0,0,0,10400,10400
33.677,7.45,250.9,4.52,25.0,4796.3,172.214,4801.167,172.345,0,0,0,10400,10400
33.664,7.45,250.8,4.52,25.0,4817.01,172.911,4821.861,173.041,0,0,0,10400,10400
33.654,7.45,250.7,4.52,25.0,4837.73,173.608,4842.556,173.738,0,0,0,10400,10400
33.642,7.45,250.6,4.52,25.0,4858.52,174.308,4863.25,174.434,0,0,0,10400,10400
33.631,7.45,250.6,4.51,25.0,4879.67,175.019,4883.944,175.13,0,0,0,10400,10400
33.617,7.45,250.4,4.51,25.0,4900.37,175.715,4904.639,175.826,0,0,0,10400,10400
33.61,7.45,250.4,4.51,25.0,4920.65,176.397,4925.333,176.521,0,0,0,10400,10400
33.594,7.45,250.3,4.51,25.0,4941.41,177.094,4946.028,177.216,0,0,0,10400,10400
33.584,7.45,250.2,4.51,25.0,4962.17,177.791,4966.722,177.911,0,0,0,10400,10400
33.571,7.45,250.1,4.51,25.0,4982.95,178.489,4987.417,178.606,0,0,0,10400,10400
33.56,7.45,250.0,4.5,25.0,5003.27,179.171,5008.111,179.301,0,0,0,10400,10400
33.547,7.45,249.9,4.5,25.0,5023.98,179.866,5028.806,179.995,0,0,0,10400,10400
33.536,7.45,249.8,4.5,25.0,5044.72,180.562,5049.5,180.689,0,0,0,10400,10400
33.524,7.45,249.8,4.5,25.0,5065.83,181.27,5070.194,181.383,0,0,0,10400,10400
33.511,7.45,249.7,4.5,25.0,5086.53,181.963,5090.889,182.076,0,0,0,10400,10400
33.5,7.45,249.6,4.5,25.0,5107.25,182.658,5111.583,182.769,0,0,0,10400,10400
33.489,7.45,249.5,4.5,25.0,5127.55,183.338,5132.278,183.462,0,0,0,10400,10400
33.476,7.45,249.4,4.49,25.0,5148.27,184.031,5152.972,184.155,0,0,0,10400,10400
33.463,7.45,249.3,4.49,25.0,5169.0,184.725,5173.667,184.848,0,0,0,10400,10400
33.452,7.45,249.2,4.49,25.0,5190.13,185.432,5194.361,185.54,0,0,0,10400,10400
33.439,7.45,249.1,4.49,25.0,5210.88,186.126,5215.056,186.232,0,0,0,10400,10400
33.427,7.45,249.0,4.49,25.0,5231.64,186.82,5235.75,186.924,0,0,0,10400,10400
33.416,7.45,248.9,4.49,25.0,5251.93,187.498,5256.444,187.615,0,0,0,10400,10400
33.404,7.45,248.9,4.48,25.0,5272.64,188.19,5277.139,188.307,0,0,0,10400,10400
33.391,7.45,248.8,4.48,25.0,5292.94,188.868,5297.833,188.998,0,0,0,10400,10400
33.38,7.45,248.7,4.48,25.0,5313.73,189.562,5318.528,189.688,0,0,0,10400,10400
33.367,7.45,248.6,4.48,25.0,5334.45,190.254,5339.222,190.379,0,0,0,10400,10400
33.355,7.45,248.5,4.48,25.0,5355.18,190.945,5359.917,191.069,0,0,0,10400,10400
33.343,7.45,248.4,4.48,25.0,5376.34,191.651,5380.611,191.759,0,0,0,10400,10400
33.331,7.45,248.3,4.47,25.0,5396.65,192.328,5401.306,192.449,0,0,0,10400,10400
33.317,7.45,248.2,4.47,25.0,5417.81,193.033,5422.0,193.138,0,0,0,10400,10400
33.304,7.45,248.1,4.47,25.0,5438.5,193.723,5442.694,193.828,0,0,0,10400,10400
33.293,7.45,248.0,4.47,25.0,5459.25,194.413,5463.389,194.517,0,0,0,10400,10400
33.28,7.45,247.9,4.47,25.0,5479.54,195.089,5484.083,195.205,0,0,0,10400,10400
